Name,Location,Study Program,Sector,Affiliation,Rating
Govt Post Graduate College Satellite Town Gujranwala,Govt Post Graduate College Satellite Town Gugranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,2*
DHA College for Women Karachi,"GC-1/14th Street, Kh-e-Ghalib, PhaseVIII, DHA, Karachi",FSc Pre Engineering Fsc Pre Medical ICom,N/A,N/A,4*
Hafeez Institute of Medical Sciences Peshawar,Rabanni Street Arbab Road University Town Peshawar,FSc Medical Laboratory FSc Dental High Jean FSc Operation Theater FSc Radiologi FSc Physiotherapy,N/A,N/A,0*
Aspire Group of Colleges Lahore,"23-D/1 Gulburg-III, Opposite Nadra Executive Office, Lahore, ",FA General science ICS FSc Pre Engineering FSc Pre Medical ICom FA Humanities,Private,N/A,4*
National Institute of Science and Arts Islamabad,"Main Sawan Road, G-10/2.",FSc Pre Engineering FSc Pre Medical A Level FA ICS Icom,Private,Al Hamd Islamic University,0*
Rise School of Accountancy Lahore,"12 Aibak Block, New Garden Town, Lahore, ",ACCA Icom CMA CIA,N/A,"ICAP
 Association of Chartered Certified Accountants 
 CIMA",0*
Govt Post Graduate College for Boys Satellite Town Rawalpindi,Satellite Town Rawalpindi,FA Fsc Pre Medical FSc Pre Engineering ICS ICom,Public,N/A,0*
"Frontier Medical College, Abbottabad","P.O. Public School, Mansehra Road, ABBOTTABAD - ",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,N/A,N/A,1.25*
Punjab Group of Colleges Sialkot,"New Pearl Building, Maharaja Road, Sialkot",FA ICS Computer ScienceICom FSc Pre Engineering FSc Pre Medical FA General Science,Private,N/A,4*
Govt College for Women Baghbanpura Lahore,Govt College For Women Baghbanpura Lahore,FA Fsc Pre Medical FSc Pre Engineering ICS ICom,Public,N/A,2*
NCR-CET College of Emerging Technologies Karachi,"22-D, Block 6, P.E.C.H.S Shahra-e-Faisal, Opp Jason Trade Center Karachi Lal Kothi Bus Stop",FSc Pre Engineering Fsc Pre Medical ICom ICS Computer Scinece,Private,N/A,3*
Punjab College of Science Lahore,Canal Bank Muslim Town Lahore,FSc Pre Engineering Fsc Pre Medical ICs Computer Science FA FSc General Science,N/A,"University of the Punjab Lahore 
 BISE Lahore",3*
Chand Bagh School Muridke,9-Km Muridke - Sheikhupura Road,FSc in Pre Engineering Fsc in Pre Medical ICS in Computer Science O-Level,N/A,N/A,0*
Bahria Town School and College,"Sector-B, Bahria Town Main Blvd, Lahore",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,0*
SSAT Degree College Karachi,"2-C, 12th Commercial Street, Phase 2 Extention, DHA, Karachi",FSc Pre Engineering Fsc Pre Medical ICom ICS Computer Scinece,N/A,N/A,0*
Govt Institute of Leather Technology Gujranwala,"Govt. Institute of Leather Technology G.T Road, Near Nigar chowk Gujranwala",DAE Leather Engineering Technology DAE Fit Wear Engineering Technology,Private,N/A,1.25*
Punjab Group of Colleges Sargodha,"2-Khayaban-e-Saddiq, Sargodha",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,4*
"KNS Institute of Business Studies, Karachi","BUNGALOW # 42/3, BMCHS ROAD # 3, BEHIND PIA OFFICE, BAHADURABAD, KARACHI ",ACCA,N/A,N/A,0*
Govt Ayesha Degree College for Women Timber Market Ravi Road Lahore,Timber Market Ravi Road Lahore,FSc Pre Medical Fsc Pre Engineering ICS FA,Public,N/A,0*
Govt College Gujranwala,Govt College Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,5*
Fauji Foundation College for Girls Rawalpindi Cantt,"Fauji Foundation College for Girls New Lalazar, Rawalpindi Cantt",FA Fsc General Science ICS FSc Pre Medical FSc Pre Engineering,Private,N/A,5*
Govt Degree College for Women Wapda Town Lahore,Wapda Town Lahore,FA FSc Pre Engineering FSc Pre Medical ICS Icom ICS Physics ICS Statistics ICS Economics,N/A,N/A,0*
"Crescent Model Higher Secondary School, Lahore","Shadman Colony, Lahore",FSc Pre Medical FSc Pre Engineering FA General Science ICS I.Com,N/A,N/A,0*
Government Post Graduate Jahanzeb College Saidu Sharif Swat,Government Post Graduate Jahanzeb College Saidu Sharif Swat,FA FSc Pre Engineering FSc Pre Medical,Public,N/A,5*
Army Public School And College Islamabad,"Army Public School & College, Pothwar Complex, Alipur Farash, Islamabad",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Private,N/A,5*
Womens Institute Of Science & Humanities (Wish) Islamabad,"WISH, St.5, Faiz Ahmed Faiz Road, H-8/2, Islamabad-44000, ",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,0*
Himayat-e-Islam Khawateen College Lahore,"4-Sher Shah Block, New Garden Town, Lahore",FA FSc Pre Engineering FSc Pre Medical ICom ICS FSc General Science,N/A,"University of the Punjab 
 BISE Lahore",0*
Allama Iqbal Open University AIOU Sukkur,"Buglow No. 16, Muslim Co-operative Housing Society, Military Road, Sukkur.",Intermediate in Commerce (I.Com) Higher Secondary School Certificate (Dars-E-Nazami Group) Higher Secondary School Certificate (General Group) ,Public,N/A,0*
"Army Burn Hall College for Girls, Abbottabad","Gammi ada the mall Abbottabad, ",FA FSc Pre Engineering FSc Pre Medical,N/A,N/A,4*
Govt Post Graduate College Chakwal,Chakwal,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,3*
Divisional Public School & College Faisalabad,"Commissioner Office Road, New Civil Lines, Faisalabad",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,5*
Pakistan Forest Institute Peshawar, Forest Institute Peshawar,F.Sc,N/A,N/A,0*
Cadet College Sargodha,"Qudrat Abad Ajnaalah Road, Sargodha",FA Icom FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
Garrison Cadet College Kohat,"Garrison Cadet College, Kohat",FA FSc Pre Engineering FSc Pre Medical,Private,N/A,3*
"Cadet College, Lahore","10-Babar Blcok New Garden Town, Lahore",FSc Pre Medical Fsc Pre Engineering ICS,Public,N/A,0*
"Quaid-e-Azam College of Commerce, Lahore","3-Shahrah-Aiwan-e-Tijarat Shadman Chowk, Lahore",FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,N/A,N/A,0.5*
"Pakistan Navy Polytechnic Institute, Karachi","PN Polytechnic Institute, Adjacent Docks Police Station, Kharadar, Karachi",DAE Computer Information DAE Electrical Technology DAE Electronics Technology DAE Mechanical Technology DAE Information Technology,N/A,N/A,0*
ICMA International Lead Strategically,"ICMA International, Head Office ICMAP Building, ST-18/C ICMAP Avenue? Block 6 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300",CMA Pre-Medical Pre-Engineering ICS Icom Arts,N/A,N/A,0*
Govt College of Technology Rasul Mandi Bahaudddin,Rasul District Mandi Baha ud Din,DAE in Civil,Public,N/A,5*
"Standard College of Commerce, Lahore","32-B, New Muslim Town, Wahdat Road, Lahore",FSc Pre Medical FSc Pre Engineering ICS ICom FA Arts,Private,N/A,0*
Punjab Group of Colleges Jhelum,G.T Road Jhelum,FA FSc Pre Medical ICS Computer Science FSc Pre Engineering FA General Science Icom,Private,N/A,3*
Pakturk International School And Colleges Lahore,"5-Km from Shaukat Khanum Hospital Khayaban-e-Jinnah Road, Lahore.",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Private,N/A,3*
Elite Group of Colleges Gujranwala,"99-E, Zero Point, Sattelite Town, Gujranwala, ",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,"Govt of Punjab, BISE Gujranwala, University of Punjab, University of Sargodha",4*
"Govt. Degree College for Women, Court Road, Sialkot","Govt. Degree College for Women, Court Road, Sialkot",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,N/A,N/A,4*
College of Tourism and Hotel Management COTHM Johar Town Lahore,"10 - B, Iqbal Avenue, Near Shoukat Khanum, Johar Town, Lahore",Intermediate in Culinary Arts (ICA),Private,N/A,5*
Govt Post Graduate College Baghdad Road Bahawalpur,Govt Post Graduate College Baghdad Road Bahawalpur,FA FSc Pre Medical FSc Pre Engineering ICs Computer Science Icom FA General Science Fsc General Science,Public,N/A,5*
Vertex College of Science & Technology Abbottabad Campus,"missile Chowk, old Degree, college Road, mandian, Abbottabad",FSc Medical Lab Technology DAE Civil Technology DAE Electrical Technology,N/A,"HERA-KPK, Peshawar, SUIT-Peshawar, BISE-Abbottabad, HU-mansehra, KPK Medical Faculty, Peshawar",0*
KIPS Academy Sargodha,"73-A, Main Bazar, Satellite Town, Sargodha",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,4.5*
Govt College For Women Township Lahore,Govt College for Women Township Lahore,FA FSc Pre Engineering FSc Pre Medical ICS I.Com,Public,N/A,5*
Government Post Graduate College Kohat,Government Post Graduate College Kohat,FA FSc Pre Engineering FSc Pre Medical,Public,N/A,2.25*
"Govt. College of Technology, Multan","Qasim Pur Colony, Multan",DCom,N/A,N/A,5*
Govt College For Women Jhelum,Govt College For Women Jhelum,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,1.25*
Govt College of Technology Samanabad Faisalabad,Samanabad Faisalabad,DAE Mechanical Technology DAE Instrumentation DAE Food Technology DAE Farm Machinery DAE Electrical Technology DAE Civil Technology ,Public,N/A,0*
Pakistan School of Economics - Lahore,4 - College Block Allama Iqbal Town Lahore,FA Arts FSc Pre Medical FSc Pre Engineering ICs Computer Science ICom ,N/A,N/A,0*
Govt Degree Science and Commerce College Korangi No.6 Karachi,"No.6 Korangi, Landhi Korangi Karachi",Icom ICs Computer Science FSc Pre Medical FSc Pre Engineering,N/A,N/A,5*
Government Superior Science College Peshawar,"Daura Road, Near Wazir Bagh, Peshawar, ",FA FSc Pre Engineering FSc Pre Medical,Public,N/A,5*
Jinnah Institute Informatics Commerce & Sciences Rawalpindi,"6th Road, Rawalpindi",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom FA,N/A,N/A,3*
Govt College of Technology Sahiwal,Old Harappa Road Sahiwal,DAE Civil DAE Electrical DAE Food Processing & Preservation DAE Mechanical DAE Auto & Farm DAE Power,N/A,"PBTE
TEVTA",5*
Govt Municipal Degree College Jaranwala Road Faisalabad,Govt Muncipal Degree College Jaranwala Road Faisalabad,FSc Pre-Medical FSc Pre-Engineering ICS FA Icom FA General Science,Public,N/A,0*
Govt Postgraduate College Sheikhupura,Sheikhupura,FSc Pre-Engineering FSc Pre-Medical ICs Computer Science FA Icom,Public,N/A,3*
College of Accounting & Management Sciences (CAMS) Karachi,109 - B Gulshan-E-Fasial Bath Island Clifton,FSc Pre Medical Fsc Pre Engineering FA General Science FA ICom,N/A,N/A,0*
"Cadet College Humak, Islamabad","Cadet College Humak, Humak, Kahuta Road, Adjacent to DHA Islamabad",FSc Pre Medical  FSc Pre Engineering ICs Computer Science ICMA ACCA CIMA CIA FA,N/A,The college is affiliated with Federal Board of Intermediate and Secondary Education Islamabad.,0*
ILM College Sargodha,"87 - A, Satellite Town Sargodha",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,University of Management & Technology (UMT),4*
Govt Polytechnic Institute Women Lytton Road Lahore,"Shadi Lal Building, 2-1 Lytton Road, Lahore",DAE Computer Technology DAE Dress Designing and Dress Making DAE Computer Science DAE Electronics Technology CIT Computer information Technology FA FSc Pre Engineering FSc Pre Medical Icom ICS  ,Public,N/A,0*
Govt Islamia College For Women Eidgah Road Faisalabad,Govt Islamia College For Women Eidgah Road Faisalabad,FA Icom FA General science ICS FSc Pre-Medical FSc Pre-Engineering,Public,N/A,0*
Govt Post Graduate College For Women Model Town Gujranwala,Govt Post Graduate College For Women Model Town Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
CAA Model School and College Jiap Karachi,CAA Model School and College Jiap Karachi,FSc Pre Medical Fsc Pre Engreening Icom FA,N/A,N/A,0*
St. Joseph’s College for Women Karachi,"Shahra.e-Iraq, Saddar, Karachi.",FSc Pre Medical FA Pre-Engineering FA General Science ICS Computer Science Icom,Private,N/A,5*
Punjab Group of Colleges Bahawalpur,Punjab Group of Colleges Bahawalpur,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,5*
Nishat College of Science Multan,"Lodhi Colony Road, Multan",FSc Pre-Medical FSc Pre-Engineering ICS FA Icom FA General Science,Private,N/A,4*
Hamza Army Public School and College Rawalpindi,"Hamza Army Public School & College, Shahrah-e-Stadium, Rawalpindi",FSc pre Engineering Fsc pre Medical ICs Computer Science FA,Private,N/A,5*
Al-Syed College of Commerce Lahore,"63-E, Moulana Shaukat Ali Road Johar Town, Lahore.",I.Com,N/A,University of the Punjab Lahore,4.5*
Govt Graduate College of Commerce Allama Iqbal Town Lahore,"Hunza Block Allama Iqbal Town, Lahore",D.Com I.Com,Public,Punjab Board of Technical Education,5*
Armed Forces Institute of Pathology Rawalpindi,"Near Combined Military Hospital, Rawalpindi ",FSc Medical Laboratory Technology (MLT),Private,N/A,0*
Aziz Bhatti Shaheed Army Public School and College Mardan Cantt,"Aziz Bhatti Shaheed Army Public School & College PRC, Mardan Cantt",FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Private,N/A,0*
Govt Jinnah Degree College for Women Lahore,"Shahra-e-Fatima Jinnah, Lahore",FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,"BISE Lahore 
 Punjab University Lahore",0*
SIMSIT Islamabad,"Plot#12, IEP Building, I&T Centre, G-8/1, Islamabad",ICs Computer Science ICom FSc Pre Engineering FSc Pre Medical,N/A,Gomal University,0*
Scholars Group of Colleges Lahore,"Shahrah-e-Awan-e-Tijarat, Shadman Chowk, Lahore",FSc Pre Engineering Fsc Pre Medical ICs Computer Sciences FA ICom,Private,"Punjab University br>Bahauddin Zakariya University
BISE Lahore",1.25*
Govt Post Graduate College Jhelum,Govt Post Graduate College Jhelum,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
"Bahria Foundation College, Karachi","E-115, Block-7, Abul Hasan Isphani Road, Karachi",FSc Pre Engineering Fsc Pre Medical ICom ICs Computer Science,N/A,N/A,4*
"Govt. College Boys Model Town, Lahore","Model Town, lahore",FSc Pre Engineering Fsc Pre Medical ICS Computer Science ICom FA Arts,Public,N/A,1*
NISA Girls College Lahore,"Plot#291/2, C-1 Opposite Govt Girls High School Township, Lahore",FSc Pre Medical Fsc Pre Engineering ICS FA ICom,N/A,N/A,1*
Punjab Group of Colleges Wah Cantt,"59/17-A, Quaid Avenue, Near Barrier 3 Wah Cantt",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,5*
Punjab Group of Colleges Sheikhupura,Lahore Sargodha Road Sheikhupura,FA Icom FSc Pre Medical FSc Pre Engineering ICS Computer Science,Private,N/A,4*
Punjab Group of Colleges Bharakoh Islamabad,Punjab college main murree road 17 meel near total petrol pump bharkahu islamabad.,FA ICom ICS FSc Pre Engineering FSc Pre Medical FA General Science,Private,N/A,5*
Lahore Garrison Education System,"9 Link Tufail Road, Lahore",FSc Pre Engineering Icom FA ICS FSc Pre Medical,N/A,N/A,0*
College Of Tourism & Hotel Management COTHM Islamabad,"14-O, Adjacent Bank of Panjab, F-8 Markaz, Islamabad",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),N/A,N/A,1*
Jinnah Islamia Group of Colleges Lahore,"34 A-1, Peco Road, Township, Lahore",FSc Pre Medical FSc Pre Engineering ICS FA Arts Icom,Private,"Board of Intermediate and Secondary Education 
 University of the Punjab Lahore",5*
"Dar-e-Arqam School, Lahore","1-C, Faisal Town, Opposite Nespak Parking",FSc Pre Engineering Fsc Pre Medical ICS Computer Science ICom FA Arts,Private,N/A,0*
Chenab College Faisalabad,"Chenab College West Canal Road, Faisalabad ",FSc Pre Engineering Fsc Pre Medical ICS I.Com FA IT ICom DAE Civil DAE Electrical,Private,GC University Faisalabad,0*
Khwaja Fareed Government College Rahim Yar Khan,"Khawaja Fareed Govt. P/G College, Abu Dahbi Road, Satellite Town, Rahim Yar Khan.",FSc. Pre Medical Fsc. Pre Engineering FA,Private,N/A,0*
"Swedish Institute of Engineering & Technology, Gujranwala","G.T Road, Pindi by pass, Opposite Gold Marriage Hall, Gujranwala",ICs Computer Science Fsc Pre Engineering FSc Pre Medical,Private,N/A,3*
Govt Post Graduate Islamia College Faisalabad,Govt Post Graduate Islamia College Faisalabad,FSc Pre-Medical FSc Pre-Engineering ICS FA Icom FA General Science,Public,N/A,1*
Fazaia Degree College Faisal Karachi,Faisal Karachi,FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom,N/A,"Karachi Board
Federal Board",5*
Zamindara College Gujrat,Zamindara College Gujrat,FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,N/A,N/A,3*
Govt Islamia College Kasur,Government Islamia College Kasur,FA Fsc Pre-Engineering FSc Pre-Medical ICom ICS FA General Science,N/A,N/A,0.5*
Leadership Colleges Network Lahore,"25-Ali Block, New Garden Town, Lahore, ",ICS FA Fsc Pre Medical FSc General Science FSc Pre Engineering I.COM,Private,N/A,4.5*
Noble Group of Colleges Lahore,2-A Shadman Chock Shadman Lahore ,FSc Pre Engineering Fsc Pre Medical ICOM ICS Computer Sciences FA,Private,"Lahore Board
Punjab University",0*
"Askari College for Girls, Rawalpindi","140 - Saif Ullah Lodhi Road, Rawalpindi Cantt",FSc Pre Medical FSc Pre Engineering ICS ICom FA,N/A,Federal Board,5*
"Mehran College of Science and Technology, Hyderabad","Mehran College of Science and Technology, Hyderabad",FA Icom FSc Pre Engineering,N/A,N/A,5*
Steps College,"B-23 Satellite Town, Rawalpindi",FA FSc Pre-Engineering FSc Pre-Medical ICS ICom,Private,N/A,5*
Raees ul Ahrar College of Commerce Rawalpindi (RAC),"99-A/, Satellite Town, Rawalpindi",FSc Pre Engineering Fsc Pre Medical FA ICs Computer Science,Private,N/A,4*
Peshawar Model Degree Colleges Peshawar,"Warsak Road, Peshawar",FSc Pre Medical Fsc Pre Engineering FA Computer Arts FA General Science FA Humanities ICS Computer Science,Private,N/A,3*
Federal Institute of Health Sciences Multan,Ahmed Park Near Wapda Hospital Behind Lasani Gulistan Chowk Multan,Doctor of Physical Therapy DPT,N/A,N/A,0*
